sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
529,2026-09-13T00:28:21.195+00:00,13.348502,0.013865,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
530,2026-09-13T00:28:21.209+00:00,13.362771,0.014269,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
531,2026-09-13T00:28:21.225+00:00,13.378204,0.015433,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
532,2026-09-13T00:28:21.238+00:00,13.39187,0.013667,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
533,2026-09-13T00:28:21.269+00:00,13.422955,0.031085,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
534,2026-09-13T00:28:21.415+00:00,13.569131,0.146176,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
535,2026-09-13T00:28:21.430+00:00,13.583744,0.014613,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
536,2026-09-13T00:28:21.445+00:00,13.598319,0.014575,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
537,2026-09-13T00:28:21.459+00:00,13.612881,0.014562,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
538,2026-09-13T00:28:21.475+00:00,13.628842,0.015961,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
539,2026-09-13T00:28:21.489+00:00,13.643071,0.014229,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
540,2026-09-13T00:28:21.503+00:00,13.656772,0.013701,Chordcat 0,control_change,1,,,,11,80,,,,,,B0 0B 50,control_change channel=0 control=11 value=80 time=0
541,2026-09-13T00:28:21.519+00:00,13.672233,0.015461,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
542,2026-09-13T00:28:21.533+00:00,13.687103,0.01487,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
543,2026-09-13T00:28:21.547+00:00,13.700821,0.013718,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
544,2026-09-13T00:28:21.562+00:00,13.715745,0.014924,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
545,2026-09-13T00:28:21.577+00:00,13.730749,0.015004,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
546,2026-09-13T00:28:21.592+00:00,13.745878,0.015129,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
547,2026-09-13T00:28:21.622+00:00,13.775437,0.029559,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
548,2026-09-13T00:28:21.769+00:00,13.922259,0.146821,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
549,2026-09-13T00:28:21.783+00:00,13.937068,0.014809,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
550,2026-09-13T00:28:21.798+00:00,13.951555,0.014487,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
551,2026-09-13T00:28:21.812+00:00,13.965805,0.01425,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
552,2026-09-13T00:28:21.828+00:00,13.981725,0.015919,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
553,2026-09-13T00:28:21.843+00:00,13.996353,0.014628,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
554,2026-09-13T00:28:21.857+00:00,14.010295,0.013942,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
555,2026-09-13T00:28:21.871+00:00,14.02456,0.014265,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
556,2026-09-13T00:28:21.886+00:00,14.039619,0.015059,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
557,2026-09-13T00:28:21.901+00:00,14.05429,0.014671,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
558,2026-09-13T00:28:21.915+00:00,14.068651,0.014361,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
559,2026-09-13T00:28:21.930+00:00,14.083783,0.015132,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
560,2026-09-13T00:28:21.944+00:00,14.097704,0.013921,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
561,2026-09-13T00:28:21.974+00:00,14.127838,0.030133,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
562,2026-09-13T00:28:22.121+00:00,14.274647,0.146809,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
563,2026-09-13T00:28:22.136+00:00,14.29008,0.015434,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
564,2026-09-13T00:28:22.151+00:00,14.304418,0.014337,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
565,2026-09-13T00:28:22.165+00:00,14.318786,0.014368,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
566,2026-09-13T00:28:22.181+00:00,14.334651,0.015865,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
567,2026-09-13T00:28:22.195+00:00,14.348576,0.013925,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
568,2026-09-13T00:28:22.210+00:00,14.36316,0.014584,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
569,2026-09-13T00:28:22.225+00:00,14.378585,0.015425,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
570,2026-09-13T00:28:22.240+00:00,14.393782,0.015197,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
571,2026-09-13T00:28:22.253+00:00,14.406963,0.013181,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
572,2026-09-13T00:28:22.268+00:00,14.42202,0.015057,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
573,2026-09-13T00:28:22.283+00:00,14.437149,0.01513,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
574,2026-09-13T00:28:22.298+00:00,14.451291,0.014141,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
575,2026-09-13T00:28:22.328+00:00,14.48154,0.030249,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
576,2026-09-13T00:28:22.474+00:00,14.627901,0.146361,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
