sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
15,2026-09-12T23:04:36.335+00:00,9.927131,0.000283,Chordcat 0,note_on,2,67,G4,100,,,,,,,,91 43 64,note_on channel=1 note=67 velocity=100 time=0
16,2026-09-12T23:04:36.817+00:00,10.40737,0.480239,Chordcat 0,note_on,2,45,A2,0,,,,,,,,91 2D 00,note_on channel=1 note=45 velocity=0 time=0
17,2026-09-12T23:04:36.817+00:00,10.408106,0.000736,Chordcat 0,note_on,2,55,G3,0,,,,,,,,91 37 00,note_on channel=1 note=55 velocity=0 time=0
18,2026-09-12T23:04:36.817+00:00,10.408894,0.000788,Chordcat 0,note_on,2,60,C4,0,,,,,,,,91 3C 00,note_on channel=1 note=60 velocity=0 time=0
19,2026-09-12T23:04:36.817+00:00,10.409439,0.000546,Chordcat 0,note_on,2,62,D4,0,,,,,,,,91 3E 00,note_on channel=1 note=62 velocity=0 time=0
20,2026-09-12T23:04:36.817+00:00,10.409831,0.000391,Chordcat 0,note_on,2,67,G4,0,,,,,,,,91 43 00,note_on channel=1 note=67 velocity=0 time=0
21,2026-09-12T23:04:38.010+00:00,11.600743,1.190912,Chordcat 0,note_on,2,41,F2,100,,,,,,,,91 29 64,note_on channel=1 note=41 velocity=100 time=0
22,2026-09-12T23:04:38.010+00:00,11.601331,0.000588,Chordcat 0,note_on,2,51,D#3,100,,,,,,,,91 33 64,note_on channel=1 note=51 velocity=100 time=0
23,2026-09-12T23:04:38.011+00:00,11.601738,0.000407,Chordcat 0,note_on,2,56,G#3,100,,,,,,,,91 38 64,note_on channel=1 note=56 velocity=100 time=0
24,2026-09-12T23:04:38.012+00:00,11.602098,0.000359,Chordcat 0,note_on,2,58,A#3,100,,,,,,,,91 3A 64,note_on channel=1 note=58 velocity=100 time=0
25,2026-09-12T23:04:38.012+00:00,11.602466,0.000369,Chordcat 0,note_on,2,63,D#4,100,,,,,,,,91 3F 64,note_on channel=1 note=63 velocity=100 time=0
26,2026-09-12T23:04:38.436+00:00,12.026913,0.424446,Chordcat 0,note_on,2,41,F2,0,,,,,,,,91 29 00,note_on channel=1 note=41 velocity=0 time=0
27,2026-09-12T23:04:38.436+00:00,12.027482,0.000569,Chordcat 0,note_on,2,51,D#3,0,,,,,,,,91 33 00,note_on channel=1 note=51 velocity=0 time=0
28,2026-09-12T23:04:38.436+00:00,12.027769,0.000287,Chordcat 0,note_on,2,56,G#3,0,,,,,,,,91 38 00,note_on channel=1 note=56 velocity=0 time=0
